scheme,view,features,model,control,folds,balanced_accuracy,balanced_accuracy_sd,above_chance,macro_f1,ece,nll,chance,n_test
cross_lab_ibl_to_allen,4class,geometry,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.10843724098360155,1.2308247401550818,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,geometry,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.13143811577478928,1.2454322750866118,0.3583333333333333,49800
cross_lab_ibl_to_allen,4class,bandpower_full,logreg,permuted,10,0.3536058629776021,0.08130507139575151,-0.004727470355731217,0.23278868785372148,0.10238400303186287,1.2343713790779172,0.3583333333333333,49800
cross_lab_ibl_to_allen,5class,geometry,logreg,model,10,0.5852720858361338,0.08124377955952361,0.24360541916946715,0.5803612430723699,0.2671941115558475,2.2900171162895235,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,amplitude,logreg,model,10,0.4906375245201665,0.14198959203715575,0.14897085785349978,0.43056619801666135,0.18354823954785476,1.0985441396399684,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_full,logreg,model,10,0.4444807436075028,0.13417895213394676,0.10281407694083611,0.45773946102044666,0.11921876953698814,1.3940997713761,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_clean,logreg,model,10,0.3516168231621556,0.12950627242855586,0.00995015649548898,0.3452534429564421,0.13389908008279333,1.5043378903354157,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,amplitude,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,amplitude,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,amplitude,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10827551406171973,1.4064680816641413,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_clean,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_clean,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_clean,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10785379392430697,1.4052882969106977,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_full,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_full,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,geometry,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,geometry,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.10755607683790003,1.4039395478540575,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,geometry,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.12873549122980982,1.4185404490648656,0.3416666666666667,50200
cross_lab_ibl_to_allen,5class,bandpower_full,logreg,permuted,10,0.3369426685331577,0.0927244153682872,-0.004723998133508997,0.22253104471416102,0.10150466037625563,1.407475823242494,0.3416666666666667,50200
loso_allen,4class,geometry,logreg,model,10,0.82216006111416,0.15867467237698957,0.4638267277808266,0.8090397659057397,0.13396882218360123,1.1395755941656858,0.3583333333333333,49800
loso_allen,4class,bandpower_full,logreg,model,10,0.5895951285356396,0.11801461664337203,0.23126179520230625,0.5763971822153675,0.10181387808376119,1.6747873278052032,0.3583333333333333,49800
loso_allen,4class,amplitude,logreg,model,10,0.5258647820523629,0.08894579274360291,0.1675314487190295,0.4700299457955671,0.1523687336159358,1.6665412935218662,0.3583333333333333,49800
loso_allen,4class,bandpower_clean,logreg,model,10,0.4798716508077101,0.08692694585469023,0.12153831747437678,0.4673231040886513,0.08233223782131918,1.807193826179795,0.3583333333333333,49800
loso_allen,4class,amplitude,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,amplitude,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,amplitude,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.11449882903333564,1.9752216937699678,0.3583333333333333,49800
loso_allen,4class,bandpower_clean,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,bandpower_clean,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,bandpower_clean,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.09216349581088107,1.9782415113285765,0.3583333333333333,49800
loso_allen,4class,bandpower_full,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,bandpower_full,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,bandpower_full,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.09849556740704364,1.9787712386654477,0.3583333333333333,49800
loso_allen,4class,geometry,constant,model,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,geometry,constant,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.08962644020500736,1.9745826689163983,0.3583333333333333,49800
loso_allen,4class,geometry,logreg,permuted,10,0.3583333333333333,0.07905694150420949,0.0,0.23489460317164895,0.13065399653754614,1.9763712446394852,0.3583333333333333,49800
loso_allen,5class,geometry,logreg,model,10,0.7946760867551855,0.20941448238426866,0.45300942008851885,0.7808072127605784,0.13680479902512704,1.2243657816955227,0.3416666666666667,50200
loso_allen,5class,bandpower_full,logreg,model,10,0.5672825052884335,0.15146922095542584,0.22561583862176687,0.5557366684100487,0.10524767842253731,1.7549158957948159,0.3416666666666667,50200
loso_allen,5class,amplitude,logreg,model,10,0.5047356104093804,0.1202975426106478,0.1630689437427138,0.45081658100448213,0.15644951601601725,1.751879605638311,0.3416666666666667,50200
loso_allen,5class,bandpower_clean,logreg,model,10,0.4590929487478939,0.11092451168233389,0.11742628208122723,0.44733102968034055,0.08412728362901595,1.8880903634296946,0.3416666666666667,50200
loso_allen,5class,amplitude,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,amplitude,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,amplitude,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.0941816222364292,2.05559168530181,0.3416666666666667,50200
loso_allen,5class,bandpower_clean,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
