scheme,fold,view,features,model,control,seed,n_train,n_test,chance,noise_band,balanced_accuracy,accuracy,macro_f1,nll,brier,ece,ece_adaptive,classes_present,above_chance,recall_CA1,recall_DG,recall_VIS,recall_CA3,recall_CA2,draws,balanced_accuracy_max_draw
loso_allen,719161530_probeA,4class,amplitude,logreg,model,0,35100,5200,0.3333333333333333,0.02154269734821195,0.5846376811594203,0.6603846153846153,0.5051675671697486,0.8482679675313562,0.4498105356966651,0.10826902852446957,0.10723760145310579,CA1|DG|VIS,0.25130434782608696,1.0,0.0,0.7539130434782608,,,1.0,0.5846376811594203
loso_allen,719161530_probeA,4class,amplitude,logreg,permuted,0,35100,5200,0.3333333333333333,0.02154269734821195,0.33333333333333326,0.4423076923076923,0.20444444444444443,1.1964521261300403,0.6653502176190074,0.010815193908581322,0.3090364391715497,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,719161530_probeB,4class,amplitude,logreg,model,0,34600,5400,0.3333333333333333,0.02076286784374165,0.6417171717171717,0.7114814814814815,0.5523798201000082,0.7078257800686286,0.3962197287878522,0.11815379419543745,0.11972288250182826,CA1|DG|VIS,0.30838383838383837,0.9833333333333333,0.0,0.9418181818181818,,,1.0,0.6417171717171717
loso_allen,719161530_probeB,4class,amplitude,logreg,permuted,0,34600,5400,0.3333333333333333,0.02076286784374165,0.33333333333333326,0.4074074074074074,0.1929824561403509,1.1711750450920668,0.6701265912839739,0.18752567534817224,0.19396261346894822,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,719161530_probeC,4class,amplitude,logreg,model,0,36000,2900,0.5,0.03254617099987719,0.4784090909090909,0.7258620689655172,0.4440928270042194,0.6264119821176366,0.3171260313459376,0.1363587361271808,0.13531105670992336,DG|VIS,-0.021590909090909105,,0.0,0.9568181818181818,,,1.0,0.4784090909090909
loso_allen,719161530_probeC,4class,amplitude,logreg,permuted,0,36000,2900,0.5,0.03254617099987719,0.5,0.7586206896551724,0.43137254901960786,1.0565488997117674,0.5853023283365381,0.319424069393348,0.319424069393348,DG|VIS,0.0,,0.0,1.0,,,20.0,0.5
loso_allen,719161530_probeF,4class,amplitude,logreg,model,0,36600,4100,0.3333333333333333,0.029950940277884627,0.6119411764705882,0.8326829268292683,0.5805229508070981,0.49330471790167396,0.2809293061565096,0.1752449603972161,0.18339974148357616,CA1|DG|VIS,0.2786078431372549,0.8588235294117647,0.0,0.977,,,1.0,0.6119411764705882
loso_allen,719161530_probeF,4class,amplitude,logreg,permuted,0,36600,4100,0.3333333333333333,0.029950940277884627,0.33333333333333326,0.4878048780487805,0.2185792349726776,1.0394129129753706,0.6102172392045107,0.04505591262556702,0.3251339178232689,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
loso_allen,798911424_probeA,4class,amplitude,logreg,model,0,32800,5300,0.3333333333333333,0.022039637339010088,0.5815599415204679,0.6358490566037736,0.5870991269752642,0.7930616598116688,0.46328184107769765,0.10292765421286985,0.13616239037571912,CA1|DG|VIS,0.24822660818713455,0.7552631578947369,0.314,0.6754166666666667,,,1.0,0.5815599415204679
loso_allen,798911424_probeA,4class,amplitude,logreg,permuted,0,32800,5300,0.3333333333333333,0.022039637339010088,0.33333333333333326,0.4528301886792453,0.20779220779220778,1.0910868635812987,0.6444333025373146,0.023272790168448132,0.12753359270110248,CA1|DG|VIS,-5.551115123125783e-17,0.0,0.0,1.0,,,20.0,0.3333333333333333
