scheme,fold,half_width_um,position,w2v2_frozen,position+w2v2_frozen,chance
loso_ibl,0802ced5_probe00,200.0,0.511573734409391,0.5783204551012695,0.6471177455034571,0.25
loso_ibl,0802ced5_probe00,400.0,0.43378576669112257,0.5783204551012695,0.6422488150025567,0.25
loso_ibl,0802ced5_probe00,800.0,0.5019497987949932,0.5783204551012695,0.6074441733920273,0.25
loso_ibl,0802ced5_probe00,1600.0,0.3958711287489717,0.5783204551012695,0.5926131694790902,0.25
loso_ibl,0802ced5_probe01,0.0,0.850048309178744,0.7465832427536231,0.8086420893719807,0.3333333333333333
loso_ibl,0802ced5_probe01,100.0,0.8693140096618357,0.7465832427536231,0.8076727264492755,0.3333333333333333
loso_ibl,0802ced5_probe01,200.0,0.8396714975845411,0.7465832427536231,0.8019478049516909,0.3333333333333333
loso_ibl,0802ced5_probe01,400.0,0.743335144927536,0.7465832427536231,0.7927067602657005,0.3333333333333333
loso_ibl,0802ced5_probe01,800.0,0.5270555555555555,0.7465832427536231,0.7594215579710144,0.3333333333333333
loso_ibl,0802ced5_probe01,1600.0,0.4233816425120773,0.7465832427536231,0.7509238345410628,0.3333333333333333
loso_ibl,0a018f12_probe00,0.0,0.8814102564102564,0.7336926957223567,0.9138502669646736,0.3333333333333333
loso_ibl,0a018f12_probe00,100.0,0.8927380952380952,0.7336926957223567,0.90408718569566,0.3333333333333333
loso_ibl,0a018f12_probe00,200.0,0.8406410256410256,0.7336926957223567,0.9048627227292482,0.3333333333333333
loso_ibl,0a018f12_probe00,400.0,0.7887136027813993,0.7336926957223567,0.8698737924504873,0.3333333333333333
loso_ibl,0a018f12_probe00,800.0,0.504581393183088,0.7336926957223567,0.7382736682808717,0.3333333333333333
loso_ibl,0a018f12_probe00,1600.0,0.48823911963742467,0.7336926957223567,0.7426357981002049,0.3333333333333333
loso_ibl,3638d102_probe01,0.0,0.8355555555555556,0.7586709677419355,0.8672996415770609,0.3333333333333333
loso_ibl,3638d102_probe01,100.0,0.7852329749103943,0.7586709677419355,0.8559495340501793,0.3333333333333333
loso_ibl,3638d102_probe01,200.0,0.8080501792114696,0.7586709677419355,0.8612491756272401,0.3333333333333333
loso_ibl,3638d102_probe01,400.0,0.6012616487455198,0.7586709677419355,0.807926523297491,0.3333333333333333
loso_ibl,3638d102_probe01,800.0,0.547146953405018,0.7586709677419355,0.7774863082437276,0.3333333333333333
loso_ibl,3638d102_probe01,1600.0,0.39194982078853047,0.7586709677419355,0.7657180645161291,0.3333333333333333
loso_ibl,54238fd6_probe00,0.0,0.6666666666666666,0.6282182511458827,0.664134710368263,0.25
loso_ibl,54238fd6_probe00,100.0,0.6312500000000001,0.6282182511458827,0.6548331826892683,0.25
loso_ibl,54238fd6_probe00,200.0,0.6119979354354353,0.6282182511458827,0.6514876743519835,0.25
loso_ibl,54238fd6_probe00,400.0,0.5381522147147147,0.6282182511458827,0.6438990635372214,0.25
loso_ibl,54238fd6_probe00,800.0,0.393878170934092,0.6282182511458827,0.6356052680970444,0.25
loso_ibl,54238fd6_probe00,1600.0,0.4605996621621622,0.6282182511458827,0.6368851697091829,0.25
loso_ibl,5dcee0eb_probe00,0.0,0.8666666666666667,0.6591885867242504,0.8340252378703017,0.3333333333333333
loso_ibl,5dcee0eb_probe00,100.0,0.8579967159277505,0.6591885867242504,0.8394907168724837,0.3333333333333333
loso_ibl,5dcee0eb_probe00,200.0,0.8028571428571428,0.6591885867242504,0.8181911150100097,0.3333333333333333
loso_ibl,5dcee0eb_probe00,400.0,0.6959574420226285,0.6591885867242504,0.7424996963357852,0.3333333333333333
loso_ibl,5dcee0eb_probe00,800.0,0.4115041500776031,0.6591885867242504,0.7278407089997077,0.3333333333333333
loso_ibl,5dcee0eb_probe00,1600.0,0.43675956542276806,0.6591885867242504,0.6680547900218188,0.3333333333333333
loso_ibl,d2832a38_probe00,0.0,0.6605937921727396,0.645123523954116,0.7082199940958165,0.25
