scheme,fold,source,n_test,balanced_accuracy,raw_accuracy,majority,chance,ece
cross_lab_allen_to_ibl,0802ced5_probe00,bandpower_full,21500,0.27697839547344316,0.25734883720930235,0.4372093023255814,0.25,0.2335824150043722
cross_lab_allen_to_ibl,0802ced5_probe00,w2v2_frozen,21500,0.2579624046777385,0.194,0.4372093023255814,0.25,0.7424035654312865
cross_lab_allen_to_ibl,0802ced5_probe00,position+bandpower_full,21500,0.45632196691789506,0.6232558139534884,0.4372093023255814,0.25,0.08380450050757962
cross_lab_allen_to_ibl,0802ced5_probe00,position+w2v2_frozen,21500,0.26495365059249876,0.20609302325581394,0.4372093023255814,0.25,0.7271494623833831
cross_lab_allen_to_ibl,0802ced5_probe01,position,18300,0.3333333333333333,0.34972677595628415,0.3770491803278688,0.3333333333333333,0.4414795129054836
cross_lab_allen_to_ibl,0802ced5_probe01,bandpower_full,18300,0.434538345410628,0.44420765027322406,0.3770491803278688,0.3333333333333333,0.07169404012948825
cross_lab_allen_to_ibl,0802ced5_probe01,w2v2_frozen,18300,0.29810223429951693,0.32551912568306013,0.3770491803278688,0.3333333333333333,0.5972003890063842
cross_lab_allen_to_ibl,0802ced5_probe01,position+bandpower_full,18300,0.581142693236715,0.5963934426229508,0.3770491803278688,0.3333333333333333,0.12332671652494322
cross_lab_allen_to_ibl,0802ced5_probe01,position+w2v2_frozen,18300,0.30668837560386475,0.3307103825136612,0.3770491803278688,0.3333333333333333,0.5844399054033359
cross_lab_allen_to_ibl,0a018f12_probe00,position,18000,0.3333333333333333,0.3277777777777778,0.3611111111111111,0.3333333333333333,0.4581114029256622
cross_lab_allen_to_ibl,0a018f12_probe00,bandpower_full,18000,0.38508493201713545,0.386,0.3611111111111111,0.3333333333333333,0.12693541096527877
cross_lab_allen_to_ibl,0a018f12_probe00,w2v2_frozen,18000,0.36639349351213757,0.3842777777777778,0.3611111111111111,0.3333333333333333,0.5759563271429291
cross_lab_allen_to_ibl,0a018f12_probe00,position+bandpower_full,18000,0.6583926708884337,0.6486666666666666,0.3611111111111111,0.3333333333333333,0.052325100342984314
cross_lab_allen_to_ibl,0a018f12_probe00,position+w2v2_frozen,18000,0.37814752902464766,0.39455555555555555,0.3611111111111111,0.3333333333333333,0.5620229052554553
cross_lab_allen_to_ibl,3638d102_probe01,position,18700,0.3333333333333333,0.3315508021390374,0.40106951871657753,0.3333333333333333,0.4039528312771913
cross_lab_allen_to_ibl,3638d102_probe01,bandpower_full,18700,0.3846616487455197,0.37631016042780746,0.40106951871657753,0.3333333333333333,0.18879317127597753
cross_lab_allen_to_ibl,3638d102_probe01,w2v2_frozen,18700,0.2969777777777778,0.34449197860962566,0.40106951871657753,0.3333333333333333,0.6033437696323565
cross_lab_allen_to_ibl,3638d102_probe01,position+bandpower_full,18700,0.5579433691756273,0.5618181818181818,0.40106951871657753,0.3333333333333333,0.1559805644612886
cross_lab_allen_to_ibl,3638d102_probe01,position+w2v2_frozen,18700,0.3042480286738351,0.3477005347593583,0.40106951871657753,0.3333333333333333,0.589078839656756
cross_lab_allen_to_ibl,54238fd6_probe00,position,17700,0.25,0.4180790960451977,0.4180790960451977,0.25,0.3928501580222073
cross_lab_allen_to_ibl,54238fd6_probe00,bandpower_full,17700,0.4096003980954639,0.5476271186440678,0.4180790960451977,0.25,0.05646967271554439
cross_lab_allen_to_ibl,54238fd6_probe00,w2v2_frozen,17700,0.23139706318160264,0.1963276836158192,0.4180790960451977,0.25,0.7368946558881799
cross_lab_allen_to_ibl,54238fd6_probe00,position+bandpower_full,17700,0.32083427177177176,0.4940677966101695,0.4180790960451977,0.25,0.3128892462430692
cross_lab_allen_to_ibl,54238fd6_probe00,position+w2v2_frozen,17700,0.23692473723723725,0.20779661016949152,0.4180790960451977,0.25,0.7179832344525292
cross_lab_allen_to_ibl,5dcee0eb_probe00,position,20100,0.3333333333333333,0.36318407960199006,0.36318407960199006,0.3333333333333333,0.3960034474167096
cross_lab_allen_to_ibl,5dcee0eb_probe00,bandpower_full,20100,0.41202451807364415,0.39950248756218903,0.36318407960199006,0.3333333333333333,0.12134007075241467
cross_lab_allen_to_ibl,5dcee0eb_probe00,w2v2_frozen,20100,0.38323197696650696,0.38303482587064674,0.36318407960199006,0.3333333333333333,0.5765022722262794
cross_lab_allen_to_ibl,5dcee0eb_probe00,position+bandpower_full,20100,0.6883229412690914,0.699452736318408,0.36318407960199006,0.3333333333333333,0.04983244520900947
cross_lab_allen_to_ibl,5dcee0eb_probe00,position+w2v2_frozen,20100,0.3973345479901928,0.3954228855721393,0.36318407960199006,0.3333333333333333,0.5562630437680838
