key,group,channel,depth_um,temporal,spatial,label
3638d102_probe01::311,3638d102_probe01,311,3120.0,4,4,4
3638d102_probe01::312,3638d102_probe01,312,3140.0,4,4,4
3638d102_probe01::313,3638d102_probe01,313,3140.0,4,4,4
3638d102_probe01::314,3638d102_probe01,314,3160.0,4,4,4
3638d102_probe01::315,3638d102_probe01,315,3160.0,4,4,4
3638d102_probe01::316,3638d102_probe01,316,3180.0,4,4,4
3638d102_probe01::317,3638d102_probe01,317,3180.0,4,4,4
3638d102_probe01::318,3638d102_probe01,318,3200.0,4,4,4
3638d102_probe01::319,3638d102_probe01,319,3200.0,4,4,4
3638d102_probe01::320,3638d102_probe01,320,3220.0,4,4,4
3638d102_probe01::321,3638d102_probe01,321,3220.0,4,4,4
3638d102_probe01::322,3638d102_probe01,322,3240.0,4,4,4
3638d102_probe01::323,3638d102_probe01,323,3240.0,4,4,4
3638d102_probe01::324,3638d102_probe01,324,3260.0,4,4,4
3638d102_probe01::325,3638d102_probe01,325,3260.0,4,4,4
3638d102_probe01::326,3638d102_probe01,326,3280.0,4,4,4
3638d102_probe01::327,3638d102_probe01,327,3280.0,4,4,4
3638d102_probe01::328,3638d102_probe01,328,3300.0,4,4,4
3638d102_probe01::329,3638d102_probe01,329,3300.0,4,4,4
3638d102_probe01::330,3638d102_probe01,330,3320.0,4,4,4
3638d102_probe01::331,3638d102_probe01,331,3320.0,4,4,4
3638d102_probe01::332,3638d102_probe01,332,3340.0,4,4,4
3638d102_probe01::333,3638d102_probe01,333,3340.0,4,4,4
3638d102_probe01::334,3638d102_probe01,334,3360.0,4,4,4
3638d102_probe01::335,3638d102_probe01,335,3360.0,4,4,4
3638d102_probe01::336,3638d102_probe01,336,3380.0,4,4,4
3638d102_probe01::337,3638d102_probe01,337,3380.0,4,4,4
3638d102_probe01::338,3638d102_probe01,338,3400.0,4,4,4
3638d102_probe01::339,3638d102_probe01,339,3400.0,4,4,4
3638d102_probe01::340,3638d102_probe01,340,3420.0,4,4,4
3638d102_probe01::341,3638d102_probe01,341,3420.0,4,4,4
3638d102_probe01::342,3638d102_probe01,342,3440.0,4,4,4
3638d102_probe01::343,3638d102_probe01,343,3440.0,4,4,4
3638d102_probe01::344,3638d102_probe01,344,3460.0,4,4,4
3638d102_probe01::345,3638d102_probe01,345,3460.0,4,4,4
3638d102_probe01::346,3638d102_probe01,346,3480.0,4,4,4
3638d102_probe01::347,3638d102_probe01,347,3480.0,4,4,4
3638d102_probe01::348,3638d102_probe01,348,3500.0,4,4,4
3638d102_probe01::349,3638d102_probe01,349,3500.0,4,4,4
3638d102_probe01::350,3638d102_probe01,350,3520.0,4,4,4
3638d102_probe01::351,3638d102_probe01,351,3520.0,4,4,4
3638d102_probe01::352,3638d102_probe01,352,3540.0,4,4,4
3638d102_probe01::353,3638d102_probe01,353,3540.0,4,4,4
3638d102_probe01::354,3638d102_probe01,354,3560.0,4,4,4
3638d102_probe01::355,3638d102_probe01,355,3560.0,4,4,4
3638d102_probe01::356,3638d102_probe01,356,3580.0,4,4,4
3638d102_probe01::357,3638d102_probe01,357,3580.0,4,4,4
3638d102_probe01::358,3638d102_probe01,358,3600.0,4,4,4
3638d102_probe01::359,3638d102_probe01,359,3600.0,4,4,4
3638d102_probe01::360,3638d102_probe01,360,3620.0,4,4,4
3638d102_probe01::361,3638d102_probe01,361,3620.0,4,4,4
